index,label,prediction
597,1,1
598,0,1
599,1,1
600,0,1
601,0,1
602,0,1
603,0,1
604,0,1
605,0,1
606,1,1
607,0,1
608,1,1
609,0,1
610,1,1
611,1,1
612,0,1
613,1,1
614,1,1
615,1,1
616,0,1
617,1,1
618,0,1
619,1,1
620,1,1
621,0,1
622,0,1
623,1,1
624,1,1
625,0,1
626,0,1
627,1,1
628,1,1
629,0,1
630,1,1
631,0,1
632,1,1
633,0,1
634,1,1
635,0,1
636,0,1
637,1,1
638,1,1
639,0,1
640,1,1
641,0,1
642,0,1
643,0,1
644,0,1
645,0,1
646,0,1
647,0,1
648,0,1
649,1,1
650,1,1
651,0,1
652,1,1
653,0,1
654,1,1
655,1,1
656,0,1
657,0,1
658,0,1
659,1,1
660,0,1
661,1,1
662,1,1
663,1,1
664,0,1
665,0,1
666,0,1
667,1,1
668,0,1
669,1,1
670,0,1
671,1,1
672,0,1
673,0,1
674,1,1
675,1,1
676,0,1
677,0,1
678,1,1
679,1,1
680,1,1
681,0,1
682,1,1
683,1,1
684,1,1
685,0,1
686,1,1
687,1,1
688,0,1
689,1,1
690,0,1
691,0,1
692,1,1
693,1,1
694,0,1
695,1,1
696,0,1
697,0,1
698,1,1
699,0,1
700,0,1
701,1,1
702,1,1
703,1,1
704,0,1
705,0,1
706,1,1
707,1,1
708,0,1
709,0,1
710,0,1
711,0,1
712,1,1
713,0,1
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,0,1
720,1,1
721,0,1
722,0,1
723,0,1
724,0,1
725,1,1
726,1,1
727,1,1
728,0,1
729,1,1
730,0,1
731,0,1
732,0,1
733,0,1
734,0,1
735,1,1
736,0,1
737,0,1
738,1,1
739,1,1
740,1,1
741,1,1
742,0,1
743,1,1
744,0,1
745,0,1
746,0,1
747,0,1
748,1,1
749,0,1
750,0,1
751,1,1
752,0,1
753,1,1
754,0,1
755,0,1
756,1,1
757,1,1
758,1,1
759,1,1
760,0,1
761,0,1
762,0,1
763,0,1
764,1,1
765,1,1
766,0,1
767,0,1
768,1,1
769,0,1
770,0,1
771,1,1
772,0,1
773,1,1
774,0,1
775,0,1
776,0,1
777,1,1
778,1,1
779,1,1
780,0,1
781,0,1
782,1,1
783,1,1
784,1,1
785,1,1
786,1,1
787,0,1
788,1,1
789,0,1
790,1,1
791,1,1
792,0,1
793,0,1
794,0,1
795,0,1
796,1,1
797,0,1
798,0,1
799,1,1
800,1,1
801,0,1
802,0,1
803,0,1
804,1,1
805,0,1
806,0,1
807,1,1
808,0,1
809,0,1
810,1,1
811,0,1
812,0,1
813,1,1
814,0,1
815,1,1
816,0,1
817,0,1
818,1,1
819,0,1
820,0,1
821,0,1
822,0,1
823,1,1
824,0,1
825,0,1
826,0,1
827,1,1
828,1,1
829,1,1
830,1,1
831,1,1
832,0,1
833,0,1
834,0,1
835,0,1
836,0,1
837,1,1
838,0,1
839,1,1
840,0,1
841,0,1
842,1,1
843,0,1
844,1,1
845,0,1
846,0,1
847,1,1
848,0,1
849,0,1
850,0,1
851,0,1
852,0,1
853,0,1
854,1,1
855,0,1
856,0,1
857,0,1
858,0,1
859,0,1
860,0,1
861,0,1
862,0,1
863,1,1
864,0,1
865,0,1
866,0,1
867,1,1
868,0,1
869,1,1
870,1,1
871,0,1
872,1,1
873,1,1
874,1,1
875,1,1
876,0,1
877,1,1
878,1,1
879,0,1
880,0,1
881,0,1
882,1,1
883,1,1
884,1,1
885,0,1
886,1,1
887,1,1
888,1,1
889,0,1
890,1,1
891,1,1
892,0,1
893,0,1
894,0,1
895,0,1
896,1,1
897,0,1
898,1,1
899,0,1
900,0,1
901,1,1
902,0,1
903,0,1
904,0,1
905,0,1
906,1,1
907,0,1
908,1,1
909,0,1
910,0,1
911,1,1
912,1,1
913,0,1
914,1,1
915,0,1
916,0,1
917,0,1
918,0,1
919,1,1
920,1,1
921,1,1
922,1,1
923,0,1
924,1,1
925,1,1
926,1,1
927,1,1
928,0,1
929,0,1
930,0,1
931,0,1
932,1,1
933,1,1
934,0,1
935,1,1
936,0,1
937,1,1
938,0,1
939,0,1
940,1,1
941,0,1
942,1,1
943,1,1
944,0,1
945,1,1
946,0,1
947,1,1
948,1,1
949,1,1
950,0,1
951,1,1
952,0,1
953,0,1
954,0,1
955,1,1
956,1,1
957,0,1
958,0,1
959,0,1
960,1,1
961,0,1
962,0,1
963,1,1
964,0,1
965,0,1
966,0,1
967,0,1
968,0,1
969,1,1
970,1,1
971,1,1
972,0,1
973,0,1
974,0,1
975,1,1
976,0,1
977,0,1
978,0,1
979,1,1
980,0,1
981,0,1
982,0,1
983,1,1
984,0,1
985,1,1
986,1,1
987,0,1
988,0,1
989,0,1
990,0,1
991,0,1
992,0,1
993,0,1
994,1,1
995,0,1
996,0,1
997,0,1
998,0,1
999,0,1
1000,1,1
1001,0,1
1002,1,1
1003,0,1
1004,1,1
1005,0,1
1006,0,1
1007,0,1
1008,0,1
1009,1,1
1010,1,1
1011,1,1
1012,0,1
1013,1,1
1014,0,1
1015,1,1
1016,0,1
1017,1,1
1018,1,1
1019,0,1
1020,1,1
1021,0,1
1022,1,1
1023,1,1
1024,1,1
1025,0,1
1026,0,1
1027,0,1
1028,0,1
1029,0,1
1030,1,1
1031,0,1
1032,0,1
1033,1,1
1034,1,1
1035,0,1
1036,1,1
1037,1,1
1038,1,1
1039,0,1
1040,1,1
1041,1,1
1042,0,1
1043,0,1
1044,1,1
1045,0,1
1046,1,1
1047,0,1
1048,1,1
1049,1,1
1050,1,1
1051,0,1
1052,0,1
1053,0,1
1054,0,1
1055,0,1
1056,0,1
1057,0,1
1058,1,1
1059,1,1
1060,0,1
1061,0,1
1062,1,1
1063,0,1
1064,0,1
1065,0,1
1066,0,1
1067,0,1
1068,0,1
1069,1,1
1070,0,1
1071,0,1
1072,0,1
1073,1,1
1074,1,1
1075,1,1
1076,1,1
1077,0,1
1078,0,1
1079,0,1
1080,0,1
1081,0,1
1082,1,1
1083,1,1
1084,1,1
1085,1,1
1086,1,1
1087,0,1
1088,0,1
1089,1,1
1090,0,1
1091,1,1
1092,0,1
1093,1,1
1094,1,1
1095,0,1
1096,1,1
1097,0,1
1098,1,1
1099,0,1
1100,0,1
1101,0,1
1102,1,1
1103,0,1
1104,0,1
1105,1,1
1106,1,1
1107,1,1
1108,0,1
1109,0,1
1110,0,1
1111,0,1
1112,1,1
1113,0,1
1114,0,1
1115,1,1
1116,0,1
1117,0,1
1118,1,1
1119,1,1
1120,0,1
1121,1,1
1122,1,1
1123,1,1
1124,1,1
1125,0,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,0,1
1131,1,1
1132,1,1
1133,0,1
1134,1,1
1135,0,1
1136,0,1
1137,1,1
1138,1,1
1139,0,1
1140,0,1
1141,1,1
1142,0,1
1143,1,1
1144,1,1
1145,0,1
1146,0,1
1147,0,1
1148,0,1
1149,0,1
1150,1,1
1151,1,1
1152,0,1
1153,1,1
1154,0,1
1155,0,1
1156,0,1
1157,0,1
1158,1,1
1159,0,1
1160,1,1
1161,0,1
1162,0,1
1163,1,1
1164,0,1
1165,1,1
1166,0,1
1167,0,1
1168,1,1
1169,1,1
1170,1,1
1171,0,1
1172,0,1
1173,1,1
1174,1,1
1175,0,1
1176,1,1
1177,0,1
1178,0,1
1179,1,1
1180,0,1
1181,1,1
1182,0,1
1183,1,1
1184,1,1
1185,1,1
1186,0,1
1187,1,1
1188,0,1
1189,0,1
1190,1,1
1191,1,1
1192,0,1
1193,1,1
1194,0,1
1195,0,1
1196,0,1
1197,0,1
1198,0,1
1199,1,1
1200,1,1
1201,1,1
1202,1,1
1203,1,1
1204,0,1
1205,0,1
1206,0,1
1207,1,1
1208,0,1
1209,0,1
1210,1,1
1211,0,1
1212,0,1
1213,1,1
1214,0,1
1215,0,1
1216,0,1
1217,0,1
1218,0,1
1219,0,1
1220,1,1
1221,1,1
1222,1,1
1223,0,1
1224,1,1
1225,0,1
1226,0,1
1227,0,1
1228,1,1
1229,0,1
1230,1,1
1231,0,1
1232,0,1
1233,0,1
1234,0,1
1235,1,1
1236,1,1
1237,1,1
1238,1,1
1239,0,1
1240,0,1
1241,1,1
1242,0,1
1243,1,1
1244,1,1
1245,0,1
1246,0,1
1247,1,1
1248,1,1
1249,0,1
1250,0,1
1251,1,1
1252,0,1
1253,1,1
1254,0,1
1255,1,1
1256,0,1
1257,0,1
1258,0,1
1259,0,1
1260,0,1
1261,0,1
1262,0,1
1263,1,1
1264,0,1
1265,1,1
1266,0,1
1267,0,1
1268,0,1
1269,0,1
1270,1,1
1271,0,1
1272,0,1
1273,0,1
1274,1,1
1275,0,1
1276,0,1
1277,0,1
1278,0,1
1279,0,1
1280,0,1
1281,1,1
1282,0,1
1283,0,1
1284,0,1
1285,0,1
1286,1,1
1287,1,1
1288,0,1
1289,1,1
1290,1,1
1291,1,1
1292,0,1
1293,0,1
1294,0,1
1295,1,1
1296,0,1
1297,0,1
1298,0,1
1299,0,1
1300,0,1
1301,1,1
1302,0,1
1303,0,1
1304,1,1
1305,1,1
1306,1,1
1307,0,1
1308,1,1
1309,0,1
1310,1,1
1311,1,1
1312,0,1
1313,1,1
1314,0,1
1315,1,1
1316,1,1
1317,1,1
1318,0,1
1319,0,1
1320,0,1
1321,1,1
1322,0,1
1323,1,1
1324,0,1
1325,0,1
1326,0,1
1327,0,1
1328,0,1
1329,0,1
1330,0,1
1331,0,1
1332,0,1
1333,1,1
1334,0,1
1335,0,1
1336,1,1
1337,1,1
1338,0,1
1339,1,1
1340,0,1
1341,0,1
1342,0,1
1343,1,1
1344,0,1
1345,0,1
1346,0,1
1347,0,1
1348,0,1
1349,0,1
1350,1,1
1351,0,1
1352,0,1
1353,0,1
1354,0,1
1355,1,1
1356,1,1
1357,0,1
1358,0,1
1359,0,1
1360,1,1
1361,1,1
1362,0,1
1363,1,1
1364,1,1
1365,1,1
1366,1,1
1367,0,1
1368,1,1
1369,0,1
1370,1,1
1371,0,1
1372,0,1
1373,0,1
1374,0,1
1375,0,1
1376,1,1
1377,0,1
1378,1,1
1379,0,1
1380,0,1
1381,1,1
1382,0,1
1383,0,1
1384,0,1
1385,1,1
1386,0,1
1387,0,1
1388,0,1
1389,0,1
1390,1,1
1391,1,1
1392,1,1
1393,0,1
1394,0,1
1395,1,1
1396,0,1
1397,0,1
1398,0,1
1399,1,1
1400,1,1
1401,0,1
1402,1,1
1403,1,1
1404,0,1
1405,1,1
1406,1,1
1407,0,1
1408,0,1
1409,0,1
1410,0,1
1411,1,1
1412,0,1
1413,0,1
1414,0,1
1415,0,1
1416,0,1
1417,1,1
1418,1,1
1419,0,1
1420,1,1
1421,0,1
1422,0,1
1423,1,1
1424,0,1
1425,1,1
1426,0,1
1427,0,1
1428,0,1
1429,0,1
1430,0,1
1431,1,1
1432,0,1
1433,1,1
1434,0,1
1435,1,1
1436,0,1
1437,0,1
1438,0,1
1439,0,1
1440,1,1
1441,0,1
1442,0,1
1443,1,1
1444,0,1
1445,1,1
1446,0,1
1447,1,1
1448,1,1
1449,1,1
1450,1,1
1451,0,1
1452,0,1
1453,1,1
1454,0,1
1455,1,1
1456,0,1
1457,1,1
1458,1,1
1459,0,1
1460,1,1
1461,1,1
1462,1,1
1463,1,1
1464,0,1
1465,1,1
1466,0,1
1467,0,1
1468,1,1
1469,0,1
1470,1,1
1471,0,1
1472,0,1
1473,0,1
1474,0,1
1475,0,1
1476,0,1
1477,1,1
1478,1,1
1479,0,1
1480,0,1
1481,1,1
1482,1,1
1483,0,1
1484,1,1
1485,1,1
1486,1,1
1487,0,1
1488,0,1
1489,1,1
1490,0,1
1491,0,1
1492,0,1
1493,1,1
1494,1,1
1495,0,1
1496,1,1
1497,0,1
1498,0,1
1499,1,1
1500,0,1
1501,0,1
1502,1,1
1503,1,1
1504,0,1
1505,1,1
1506,0,1
1507,0,1
1508,0,1
1509,0,1
1510,1,1
1511,1,1
1512,0,1
1513,1,1
1514,0,1
1515,1,1
1516,1,1
1517,1,1
1518,0,1
1519,1,1
1520,1,1
1521,0,1
1522,1,1
1523,0,1
1524,0,1
1525,0,1
1526,1,1
1527,0,1
1528,0,1
1529,1,1
1530,1,1
1531,0,1
1532,0,1
1533,0,1
1534,1,1
1535,0,1
1536,1,1
1537,0,1
1538,0,1
1539,1,1
1540,0,1
1541,0,1
1542,0,1
1543,0,1
1544,0,1
1545,1,1
1546,1,1
1547,0,1
1548,0,1
1549,0,1
1550,1,1
1551,0,1
1552,1,1
1553,1,1
1554,1,1
1555,0,1
1556,0,1
1557,1,1
1558,1,1
1559,0,1
1560,1,1
1561,0,1
1562,0,1
1563,1,1
1564,0,1
1565,1,1
1566,0,1
1567,1,1
1568,1,1
1569,0,1
1570,1,1
1571,0,1
1572,0,1
1573,0,1
1574,1,1
1575,0,1
1576,0,1
1577,0,1
1578,0,1
1579,1,1
1580,0,1
1581,0,1
1582,0,1
1583,0,1
1584,1,1
1585,1,1
1586,1,1
1587,1,1
1588,1,1
1589,1,1
1590,0,1
1591,1,1
1592,0,1
1593,1,1
1594,0,1
1595,1,1
1596,0,1
1597,0,1
1598,0,1
1599,1,1
1600,0,1
1601,1,1
1602,0,1
1603,0,1
1604,1,1
1605,0,1
1606,1,1
1607,0,1
1608,1,1
1609,1,1
1610,1,1
1611,1,1
1612,1,1
1613,1,1
1614,1,1
1615,1,1
1616,1,1
1617,0,1
1618,0,1
1619,0,1
1620,0,1
1621,0,1
1622,0,1
1623,1,1
1624,0,1
1625,1,1
1626,0,1
1627,0,1
1628,0,1
1629,0,1
1630,1,1
1631,0,1
1632,1,1
1633,1,1
1634,0,1
1635,0,1
1636,0,1
1637,1,1
1638,0,1
1639,0,1
1640,1,1
1641,0,1
1642,1,1
1643,0,1
1644,1,1
1645,1,1
1646,1,1
1647,0,1
1648,0,1
1649,1,1
1650,0,1
1651,1,1
1652,0,1
1653,1,1
1654,0,1
1655,0,1
1656,0,1
1657,0,1
1658,0,1
1659,1,1
1660,0,1
1661,0,1
1662,0,1
1663,0,1
1664,0,1
1665,1,1
1666,0,1
1667,1,1
1668,1,1
1669,0,1
1670,0,1
1671,0,1
1672,0,1
1673,0,1
1674,0,1
1675,1,1
1676,0,1
1677,0,1
1678,1,1
1679,0,1
1680,0,1
1681,0,1
1682,1,1
1683,1,1
1684,0,1
1685,1,1
1686,0,1
1687,0,1
1688,1,1
1689,0,1
1690,1,1
1691,0,1
1692,1,1
1693,1,1
1694,1,1
1695,1,1
1696,0,1
1697,1,1
1698,1,1
1699,1,1
1700,1,1
1701,0,1
1702,0,1
1703,0,1
1704,0,1
1705,1,1
1706,0,1
1707,1,1
1708,0,1
1709,1,1
1710,0,1
1711,1,1
1712,1,1
1713,1,1
1714,1,1
1715,0,1
1716,1,1
1717,1,1
1718,1,1
1719,1,1
1720,0,1
1721,1,1
1722,0,1
1723,0,1
1724,1,1
1725,0,1
1726,0,1
1727,0,1
1728,0,1
1729,0,1
1730,0,1
1731,0,1
1732,0,1
1733,1,1
1734,0,1
1735,1,1
1736,0,1
1737,0,1
1738,1,1
1739,0,1
1740,1,1
1741,0,1
1742,1,1
1743,0,1
1744,1,1
1745,0,1
1746,0,1
1747,1,1
1748,1,1
1749,0,1
1750,1,1
1751,1,1
1752,1,1
1753,1,1
1754,1,1
1755,1,1
1756,0,1
1757,0,1
1758,1,1
1759,1,1
1760,1,1
1761,0,1
1762,1,1
1763,1,1
1764,0,1
1765,1,1
1766,0,1
1767,0,1
1768,0,1
1769,0,1
1770,1,1
1771,1,1
1772,1,1
1773,0,1
1774,0,1
1775,0,1
1776,0,1
1777,0,1
1778,0,1
1779,1,1
1780,0,1
1781,1,1
1782,0,1
1783,0,1
1784,0,1
1785,0,1
1786,0,1
1787,0,1
1788,1,1
1789,0,1
1790,1,1
1791,1,1
1792,0,1
1793,0,1
1794,0,1
1795,0,1
1796,1,1
1797,0,1
1798,0,1
1799,0,1
1800,1,1
1801,0,1
1802,0,1
1803,1,1
1804,1,1
1805,0,1
1806,0,1
1807,1,1
1808,1,1
1809,0,1
1810,0,1
1811,0,1
1812,0,1
1813,1,1
1814,0,1
1815,1,1
1816,0,1
1817,0,1
1818,1,1
1819,0,1
1820,0,1
1821,0,1
1822,0,1
1823,0,1
1824,0,1
1825,0,1
1826,1,1
1827,0,1
1828,1,1
1829,0,1
1830,0,1
1831,0,1
1832,0,1
1833,0,1
1834,1,1
1835,0,1
1836,0,1
1837,1,1
1838,0,1
1839,0,1
1840,1,1
1841,0,1
1842,0,1
1843,0,1
1844,1,1
1845,1,1
1846,1,1
1847,0,1
1848,1,1
1849,0,1
1850,0,1
1851,0,1
1852,1,1
1853,0,1
1854,0,1
1855,0,1
1856,1,1
1857,0,1
1858,0,1
1859,1,1
1860,1,1
1861,1,1
1862,0,1
1863,0,1
1864,0,1
1865,0,1
1866,1,1
1867,0,1
1868,1,1
1869,1,1
1870,0,1
1871,0,1
1872,0,1
1873,0,1
1874,0,1
1875,0,1
1876,1,1
1877,0,1
1878,0,1
1879,0,1
1880,0,1
1881,0,1
1882,1,1
1883,0,1
1884,1,1
1885,0,1
1886,1,1
1887,1,1
1888,0,1
1889,1,1
1890,0,1
1891,1,1
1892,0,1
1893,0,1
1894,0,1
1895,1,1
1896,0,1
1897,1,1
1898,0,1
1899,1,1
1900,0,1
1901,0,1
1902,1,1
1903,0,1
1904,1,1
1905,0,1
1906,1,1
1907,0,1
1908,1,1
1909,0,1
1910,1,1
1911,1,1
1912,0,1
1913,1,1
1914,0,1
1915,0,1
1916,1,1
1917,0,1
1918,0,1
1919,1,1
1920,1,1
1921,0,1
1922,1,1
1923,1,1
1924,1,1
1925,1,1
1926,1,1
1927,1,1
1928,0,1
1929,0,1
1930,1,1
1931,0,1
1932,1,1
1933,0,1
1934,1,1
1935,0,1
1936,0,1
1937,1,1
1938,1,1
1939,1,1
1940,0,1
1941,0,1
1942,1,1
1943,0,1
1944,0,1
1945,0,1
1946,0,1
1947,1,1
1948,0,1
1949,0,1
1950,0,1
1951,0,1
1952,1,1
1953,1,1
1954,1,1
1955,1,1
1956,0,1
1957,0,1
1958,1,1
1959,0,1
1960,0,1
1961,0,1
1962,1,1
1963,1,1
1964,1,1
1965,0,1
1966,0,1
1967,0,1
1968,0,1
1969,0,1
1970,1,1
1971,0,1
1972,1,1
1973,1,1
1974,0,1
1975,1,1
1976,1,1
1977,1,1
1978,1,1
1979,1,1
1980,1,1
1981,0,1
1982,1,1
1983,0,1
1984,1,1
1985,1,1
1986,0,1
1987,0,1
1988,1,1
1989,1,1
1990,0,1
1991,1,1
1992,1,1
1993,0,1
1994,0,1
1995,0,1
1996,0,1
1997,0,1
1998,0,1
1999,0,1
2000,0,1
2001,1,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,1,1
2008,1,1
2009,1,1
2010,1,1
2011,1,1
2012,1,1
2013,1,1
2014,0,1
2015,1,1
2016,1,1
2017,1,1
2018,0,1
2019,1,1
2020,1,1
2021,0,1
2022,1,1
2023,1,1
2024,1,1
2025,0,1
2026,1,1
2027,0,1
2028,0,1
2029,1,1
2030,0,1
2031,0,1
2032,0,1
2033,1,1
2034,0,1
2035,1,1
2036,0,1
2037,1,1
2038,1,1
2039,0,1
2040,0,1
2041,0,1
2042,0,1
2043,0,1
2044,0,1
2045,0,1
2046,0,1
2047,1,1
2048,0,1
2049,0,1
2050,1,1
2051,1,1
2052,1,1
2053,0,1
2054,1,1
2055,1,1
2056,0,1
2057,0,1
2058,0,1
2059,1,1
2060,0,1
2061,1,1
2062,0,1
2063,0,1
2064,0,1
2065,0,1
2066,1,1
2067,1,1
2068,0,1
2069,1,1
2070,0,1
2071,0,1
2072,1,1
2073,1,1
2074,0,1
2075,0,1
2076,0,1
2077,1,1
2078,1,1
2079,1,1
2080,0,1
2081,1,1
2082,1,1
2083,0,1
2084,0,1
2085,1,1
2086,0,1
2087,0,1
2088,1,1
2089,0,1
2090,0,1
2091,1,1
2092,0,1
2093,1,1
2094,1,1
2095,1,1
2096,1,1
2097,1,1
2098,0,1
2099,0,1
2100,0,1
2101,1,1
2102,0,1
2103,1,1
2104,1,1
2105,0,1
2106,1,1
2107,1,1
2108,1,1
2109,0,1
2110,0,1
2111,0,1
2112,0,1
2113,1,1
2114,0,1
2115,0,1
2116,0,1
2117,1,1
2118,0,1
2119,0,1
2120,0,1
2121,0,1
2122,0,1
2123,1,1
2124,0,1
2125,1,1
2126,1,1
2127,1,1
2128,0,1
2129,1,1
2130,1,1
2131,1,1
2132,0,1
2133,1,1
2134,1,1
2135,1,1
2136,0,1
2137,0,1
2138,0,1
2139,1,1
